1,471,595,345
2,133,417,61,488
3,565,523,541
4,200,579,671,274
5,96,220,196
6,25,23,118,292,131
7,198,110,618,154
8,447,24,242,293
9,64,179,207,456,124
10,253,252,621,492,509
11,303,262,89,484,461
12,32,8,637,208
13,37,212,642,82
14,127,645,261,593
15,639,615,444
16,38,173,437
17,26,331,35,10,395
18,375,119,636,55
19,41,428,267,180,236
20,261,201,250,594,587
21,160,70,404,201
22,118,169,177,153,449
23,106,377,651,260
24,171,81,370,70
25,195,274,126,64,465,63
26,12,502,33,429,95
27,154,28,245,205,631
28,20,94,522,408
29,178,138,135,45,213,548
30,652,570,589
31,234,206,105,522,528
32,194,372,233
33,79,517,410,388
34,169,46,206,626,247
35,250,558,272,84,53,452,209
36,118,463,436,181
37,173,312,45,124
38,284,427,42
39,9,0,547,36,149,83
40,120,62,23,111,192,367
41,199,142,265,51,176
42,597,227,203,76
43,198,399,22
44,483,92,485,210
45,4,596,100,157
46,4,38,321,247
47,242,557,566,602
48,245,657,341,550,549
49,97,49,341,627,186
50,648,218,81,519,136
51,117,9,244,1,363,43
52,217,293,156,64,101
53,81,364,500,111
54,370,52,279,329
55,282,265,95,2,439,285
56,34,595,156,1
57,32,88,632,264
58,92,67,110,368,32
59,545,197,91,629,344
60,267,474,410,584
61,637,189,635,530
62,89,188,122,520,561
63,64,173,349,210
64,161,398,169,303,237
65,14,204,51,38,23,16
66,76,593,54,19
67,208,225,486,344,555
68,17,528,18,300,178
69,527,159,308,120
70,572,339,519
71,195,233,613,95,585,585
72,374,43,120,279,174
73,308,302,495
74,51,70,71,85,125
75,234,48,623,172,129
76,533,467,629
77,67,219,628,115
78,368,523,508
79,176,175,18,101,367,82
80,589,252,622,297
81,36,329,398,455
82,532,85,18,192
83,520,265,277
84,530,175,258
85,152,227,138
86,126,254,303,546
87,294,26,27
88,544,187,202
89,260,638,216,204,659,571
90,32,583,640,590
91,23,247,580,209
92,74,231,382,219,52
93,234,174,639,389
94,191,644,435
95,157,466,137,536,249
96,478,294,182,139
97,251,224,506
98,108,239,92,123,348
99,8,258,309,479
100,314,166,544,199
101,57,453,22,297,56
102,655,35,496,392
103,433,214,284,132
104,185,140,236,353,373
105,79,479,112,348,383
106,440,15,42
107,138,117,14,493
108,626,211,537,202
109,651,7,200
110,37,128,304,188
111,89,286,350,513
112,35,136,199,528,311
113,189,489,187
114,456,67,514,491
115,53,23,540,111,310
116,489,298,107,469,311
117,302,523,352,636
118,164,227,0,11,198
119,59,193,537,166,649
120,31,39,66,16
121,20,357,254
122,205,261,96,501
123,195,304,573,164,28
124,390,154,190,194
125,129,96,45,314,138
126,363,72,645,431
127,5,61,109,185
128,114,650,236
129,380,432,531
130,230,451,10,230,75
131,50,66,648,614
132,49,536,426,446
133,432,641,99
134,348,157,39,540,389
135,202,193,161,469,413
136,196,145,305,54,126,622
137,78,315,154,49
138,215,175,19,48,454
139,10,182,126,116,37
140,96,82,650,266,288,119
141,186,90,670,20
142,213,86,384,17
143,467,289,603,241
144,68,396,209,524,606
145,73,289,74,61,137
146,98,25,352,365,448
147,505,292,591,258
148,144,141,492,281,46,280,254
149,192,142,581,568,466
150,307,473,94,536,342
151,219,278,383,150
152,56,277,657,263
153,231,247,275,106,382,257
154,85,185,306,34
155,297,602,80,395,390
156,521,234,642,235
157,8,200,173,71,371,592
158,98,296,510,57,1,200
159,174,10,67,617,459
160,356,93,25
161,305,577,639,559
162,181,190,524,249,323,582
163,28,44,150,280,163
164,54,423,8,12
165,659,217,543
166,22,608,529
167,194,500,84,183
168,216,163,172,127,379
169,150,516,515,545,276
170,116,108,8,31,76
171,628,138,647,284
172,15,205,176,486
173,212,504,47,503
174,384,219,171,235
175,393,162,473,627
176,426,116,632,489
177,201,158,154,233,188
178,226,97,155,264,658,512
179,351,14,117,212
180,640,209,541,572
181,506,248,272
182,253,66,62,45
183,42,119,212,514
184,184,247,585,583,108
185,56,49,326,317
186,148,534,200,92,122,225
187,263,0,57
188,110,98,113,200,65,214,498
189,134,229,553,472,529
190,529,592,85
191,186,630,220,662
192,218,86,194
193,241,608,234,357
194,164,275,532,470
195,549,548,210,115,250
196,27,51,124,57,2
197,41,300,566,181,287,65
198,61,556,326,471
199,180,111,316,614,618
200,661,114,207,74
201,158,279,106,28,164
202,480,212,657,460,459
203,31,95,355,116
204,227,93,246,641,121
205,80,89,615,656
206,226,149,145,411
207,247,330,69,590,316
208,18,327,48,579
209,66,47,220,78,42,324,412
210,594,534,193
211,236,600,78,174,393
212,146,130,196,7,19,67
213,166,160,346,406,71
214,231,408,139,575
215,288,148,464,319
216,100,649,280,289,98
217,29,137,525,660,553
218,142,146,72
219,126,458,422
220,103,609,62,110,262,94
221,223,546,71,475,290
222,232,63,81
223,244,51,269,365,396
224,3,47,140,281,89
225,475,286,302,225
226,389,87,605,441
227,246,507,171,377,548,547
228,302,286,466
229,52,186,328,350
230,94,7,186,409,331
231,152,21,102,97,322
232,5,109,53,109
233,40,153,79,91
234,0,82,434,364
235,58,78,5,214,600,398
236,220,509,238,122,74,430,555
237,190,94,561,77,631,401
238,65,50,93,148,36,149,407
239,94,321,40,69,189
240,340,66,651,533
241,469,189,37,470,586
242,179,519,83,397,526
243,266,477,293,661,586
244,4,563,85,18,171
245,197,493,377,527
246,129,152,598,59,215
247,631,610,628
248,130,365,137,59
249,125,156,199,578,62
250,192,334,537,401
251,187,191,580,242,425,609
252,444,73,43,478,336
253,238,301,487,228,495,604
254,15,166,46,645
255,69,108,621,643
256,416,415,310,239
257,163,622,480,539
258,87,419,148,44
259,514,322,463
260,5,668,99
261,265,291,567,589,390
262,113,170,83,306,102
263,35,36,142,380
264,61,287,9,184,183,35,217
265,636,609,569
266,259,276,296,300
267,248,610,454,559
268,222,663,640,658
269,601,650,83
270,373,163,304,123
271,109,498,208,508,574
272,128,52,63,88,218
273,33,29,362,142,20
274,138,237,344,568,560
275,420,132,543
276,119,313,175,161
277,470,121,228
278,26,411,40,129,133
279,74,56,445,474,41
280,143,233,84,118,312
281,350,271,268
282,491,152,30
283,235,490,151,652,580
284,427,270,549,337
285,299,9,231,551
286,64,182,41,146,479
287,147,19,195,255
288,45,77,406,227
289,91,366,19,485,354
290,15,42,295,433
291,134,21,259,572
292,165,209,182,180,353,478
293,587,256,313,577
294,189,307,165,66
295,255,159,269,162,179
296,222,404,601,330
297,270,662,287,476,569
298,28,165,15,178,68
299,309,646,660
300,107,100,481,60,263
301,80,59,217,210,262,223
302,124,460,162,376,547
303,218,197,222,122
304,244,664,86,218,621
305,70,354,258,31,373
306,245,310,179,649,633
307,171,341,185
308,418,613,269
309,132,252,147,170
310,333,155,647,314
311,105,240,229,97,288,266
312,386,207,421,308
313,48,413,517,376
314,402,396,369
315,66,280,346,382
316,229,574,240,239,286,434
317,564,167,133,525
318,295,634,93,607,445
319,10,143,47,167,221
320,40,143,248
321,198,311,194,44,70,366,342
322,570,306,218,93,566,105
323,260,562,625,521
324,325,131,371,125
325,256,59,55,419,511
326,11,9,68,5,179
327,223,249,46,355,623,550
328,258,177,164,91,27
329,24,2,447,446,301
330,274,301,544
331,172,27,170,110
332,96,326,418,472
333,16,397,251,464,246
334,62,11,63,11,33,43
335,591,666,481
336,229,0,226,423
337,230,214,667,427
338,191,144,535,263,638,535
339,228,132,465,321
340,249,153,468,412
341,2,238,0,55,24
342,240,103,632,655,653
343,50,117,265,351
344,137,112,108,168,97
345,28,101,72,433,505
346,183,99,1,403,573
347,187,30,80,103,67
348,177,58,131,616,328
349,264,336,594,634
350,193,421,598,442
351,163,100,24,87,96
352,165,508,34,72
353,206,62,54,480,415
354,462,354,471
355,139,86,77,272
356,255,47,134
357,239,74,417,526
358,211,620,576,564
359,233,42,87,292,375,374
360,157,33,627,542,240
361,91,25,515,335
362,588,285,521,520,626
363,353,4,5
364,269,299,612,557,462
365,653,487,483
366,13,257,141,199
367,455,136,527,298
368,576,598,517
369,629,385,425
370,183,13,98,359,358
371,86,150,596,316
372,95,349,130,538,460
373,230,54,654,663
374,224,646,384,276
375,448,643,624
376,298,134,366,623
377,231,146,12,4
378,68,65,69,319,439,372
379,263,240,635,270
380,97,362,507
381,65,239,60,356,317
382,215,499,243,183
383,196,370,504
384,128,39,379,10,54,75
385,78,215,488,198
386,122,285,181,112,289
387,29,26,428,379
388,273,150,625
389,75,69,318,36,153
390,409,203,540,438
391,130,369,107,597,429
392,114,75,17,550,32,78
393,385,283,205,360,558
394,251,232,543,360,120
395,214,339,492,58
396,360,55,135,386
397,32,37,403,613,493
398,250,592,664,538
399,617,554,197
400,213,133,31,512,290,542
401,656,227,511,451
402,495,236,402,399
403,400,124,123,92,496,497,498
404,224,559,95,442
405,112,358,182,359
406,242,614,177,229
407,387,259,86,105
408,643,255,445,447
409,198,261,132,204,463
410,68,139,152,551
411,541,39,387
412,338,191,160,299
413,488,244,637,449
414,237,472,273,80,80,616
415,232,175,615,268,490,567
416,104,49,61,372,31,6,249
417,430,245,185,278,475
418,3,144,186,80
419,225,660,456,579
420,257,288,571,619,553
421,575,254,174,653,448
422,485,282,206,630,461
423,142,137,125,0,77
424,405,424,525
425,39,292,638,189
426,243,183,665,420
427,236,22,245
428,174,424,244
429,232,616,606,338
430,41,388,361,518
431,54,90,452,173,204,391
432,578,274,600
433,300,262,20,53,612
434,25,204,166,56
435,182,454,565,591
436,205,176,436,232,332
437,121,1,63,393,368
438,394,172,250,333
439,75,148,30,571,595
440,157,225,422,507
441,324,159,197
442,39,22,449,60,481,378
443,99,38,375
444,635,243,61,106,413
445,17,246,369,26
446,73,560,151,318
447,170,568,213,330,457
448,84,83,37,113,222
449,238,290,72,293,89
450,160,654,92,362,599
451,47,501,12,92,312
452,167,72,646,228
453,257,241,196,84,196,37
454,143,437,593,414
455,538,503,340
456,202,335,153,114,108
457,194,429,279,243,275
458,223,44,10,15
459,16,625,88,216,333
460,172,511,539,339
461,414,59,277,240
462,136,187,32,184,268
463,102,351,172
464,105,291,147
465,111,149,581,327
466,156,18,192,77,81,140
467,79,105,283,331
468,57,89,141,453,237
469,459,603,295,294
470,140,216,574,552
471,252,446,284,577,473
472,7,296,295,103,23,143,444
473,123,401,378,252
474,248,607,155,347
475,46,399,313,90
476,254,395,340,161
477,93,461,168,440,65
478,149,83,76,323,71
479,46,147,99,117,440
480,204,21,303,363,438
481,128,6,90,281
482,223,115,269,407
483,38,56,139,217,21,3
484,131,210,336,416
485,101,424,178,134,130
486,233,586,443,411
487,3,30,12,84,229
488,177,26,230,509
489,176,45,557,319
490,71,264,46,160
491,522,325,530
492,644,392,266
493,6,3,435,22,612,181
494,63,43,7,272,226,118
495,155,160,50,402
496,52,1,221,145,524,374
497,181,337,414
498,141,179,27,30,494
499,306,458,573
500,88,250,338,380
501,18,458,8,73
502,101,464,191,257
503,115,8,127,53,203,256
504,112,146,545,409
505,383,510,51
506,603,264,437
507,21,301,76,201,387,231
508,127,222,305,299
509,147,496,271,663,552
510,34,121,117,273,100
511,19,151,188,226,345,468
512,482,215,216,556,518
513,45,376,195,58,119,477
514,618,201,78,535
515,291,152,358,211
516,90,125,63,163,9
517,268,513,48,510,419
518,81,357,64,5,141,106
519,197,555,554,408,224
520,60,156,219,386,25
521,47,168,88,241,599
522,251,441,560,561,562,558
523,235,6,296,415
524,48,611,277,110,655
525,268,173,355
526,202,34,145,144,7,334
527,38,53,41,285,223
528,146,202,275,17
529,109,457,490,315
530,60,42,271,232,40
531,381,199,235,273,385
532,203,599,546,567
533,77,167,158,109,168,476
534,209,243,270,140,68,394,563
535,153,439,113,457
536,58,135,251,320
537,73,176,85,79,661
538,503,122,107,167
539,40,115,16,513,512,403
540,1,184,75,164,364,157
541,103,305,494
542,158,2,337,2,516
543,107,102,24,148,584
544,347,120,156,271
545,170,79,291,588
546,159,328,633,499
547,207,624,235,588,256
548,243,443,576,564
549,207,133,29,158,39
550,52,552,14,441,211
551,230,116,570,309
552,518,619,620
553,55,20,332,634,329
554,237,420,611
555,484,324,107
556,150,260,29,35
557,16,65,307,126
558,371,100,13,102,191,190
559,551,219,13
560,539,57,169,298,177
561,11,53,104,34,60,23
562,253,259,611,652
563,604,662,352
564,323,187,455,381
565,139,82,428,205
566,151,55,81,215,112
567,442,211,617,255
568,494,253,13,484
569,168,193,673,397
570,167,14,27,12,158,282
571,69,320,121,28,151,50
572,26,165,180,201
573,21,77,130,253
574,135,468,435,426
575,84,584,648,582,581
576,297,453,11
577,221,60,44,104,208,128
578,249,104,381,400
579,99,29,111,260,29
580,12,48,349,443
581,434,129,534,400
582,256,192,79,605,604,214
583,83,91,17,602,145
584,145,190,180,450,502
585,43,58,213,253,252
586,129,391,477,58
587,102,266,4,169,278
588,149,27,3,620,491
589,281,144,659
590,134,450,49,21
591,50,225,220,127,165
592,367,7,501,405
593,497,213,356,533
594,343,320,155
595,168,6,124,136,391
596,114,35,244,416
597,4,67,317,504,347
598,342,483,184
599,13,123,147,50,221,40
600,15,283,228,497,556
601,133,203,14,315
602,641,237,394,259
603,606,276,86,630,482
604,619,217,596,575
605,31,267,162,114
606,262,392,87,270,486
607,210,241,143,346,500
608,531,135,9
609,476,308,452,587
610,120,73,64,69
611,425,113,597,93
612,57,16,87,234
613,90,118,224,123,144,267
614,166,24,33,421
615,359,248,51,131,38
616,254,309,569,664,532
617,43,33,633,103,74
618,2,465,327,554
619,14,119,36,94,505
620,161,216,334
621,121,71,669,207
622,410,136,132,101,104
623,22,188,115,487,325
624,378,212,154,195,343
625,72,412,41,404
626,76,178,208,62,283,169
627,116,34,405,24
628,30,13,175,294,238
629,106,59,562,531
630,188,278,542,267,432,431
631,82,30,438,343,451
632,407,98,36,332
633,162,242,25,242,70
634,406,220,672,261
635,241,582,287,607
636,322,88,44
637,159,180,193,206
638,33,131,307,68
639,178,75,624,565
640,203,128,578
641,88,185,656,318
642,44,6,211,159,238
643,431,52,246
644,17,361,583
645,228,56,482,462
646,361,171,170,563,335
647,85,162,184,423,467
648,590,221,76,474,245
649,55,127,70,3,6
650,141,151,224,208,502,516
651,11,95,125,73,499
652,222,605,90,450,506
653,113,304,82,601,239
654,246,345,190,515,610
655,658,161,221,206,282
656,91,526,155,608,436
657,19,248,251,104
658,642,49,388,418,417
659,20,226,422,430,654
660,135,647,290,87,140,644
